IDDIST;LONGITUD;LATITUD
010101;-77.85660553;-6.247746468
010102;-77.74291229;-5.996107578
010103;-77.94944;-6.807841301
010104;-77.67736053;-6.298003197
010105;-77.75561523;-6.078197002
010106;-77.89507294;-6.934877872
010107;-77.5766983;-6.099984169
010108;-77.87509918;-6.15613699
010109;-77.78419495;-6.503577709
010110;-77.79879761;-6.80891037
010111;-77.8639679;-6.31424284
010112;-77.82371521;-6.420556068
010113;-77.77044678;-6.578924656
010114;-77.60726929;-6.212434292
010115;-77.71833801;-6.628098011
010116;-77.67115021;-6.008424759
010117;-77.68556213;-6.108169079
010118;-77.73323059;-6.232221603
010119;-77.82260132;-6.354425907
010120;-77.74688721;-6.309166431
010121;-77.79660797;-6.175983906
010201;-78.52067566;-5.580885887
010202;-78.44837189;-5.380432129
010203;-78.3999939;-5.647705078
010204;-78.47335815;-5.622588158
010205;-78.38957977;-4.9913311
010206;-78.4457016;-5.591997147
010301;-77.825737;-5.9517169
010302;-77.7256012;-5.894831657
010303;-77.93019867;-6.007770061
010304;-77.81036377;-5.817502499
010305;-77.91453552;-5.911123753
010306;-77.95912933;-5.823605061
010307;-78.02366638;-5.945376873
010308;-77.77524567;-5.93926096
010309;-77.87970734;-5.996452332
010310;-78.05223083;-5.883749962
010311;-77.86897278;-6.080620289
010312;-77.86049652;-5.524330616
010401;-77.93042755;-4.845426083
010402;-78.33588409;-4.168538094
010403;-77.88809967;-3.813448668
010501;-77.94338226;-6.119874001
010502;-78.3345871;-6.177792549
010503;-78.01559448;-6.627200127
010504;-78.01086426;-6.310037136
010505;-78.1911087;-6.126538277
010506;-78.02833557;-6.248077393
010507;-78.00461578;-6.407329559
010508;-78.01232147;-6.207437038
010509;-77.98097229;-6.171840191
010510;-78.11649323;-6.112482548
010511;-77.9615097;-6.4966259
010512;-78.21682739;-6.22180748
010513;-78.16394806;-6.345783234
010514;-78.08611298;-6.474719048
010515;-78.29169464;-6.307579517
010516;-77.96391296;-6.084210873
010517;-77.85939026;-6.659005165
010518;-78.04569244;-6.004602909
010519;-77.89162445;-6.482745171
010520;-78.09361267;-6.056970119
010521;-77.89238739;-6.569079876
010522;-77.94368744;-6.38685894
010523;-77.98124695;-6.156620979
010601;-77.43894196;-6.372810841
010602;-77.42037964;-6.547502041
010603;-77.6652298;-6.386189461
010604;-77.53058624;-6.435586452
010605;-77.57616425;-6.553086758
010606;-77.56613922;-6.351065636
010607;-77.4850769;-6.291670322
010608;-77.41275024;-6.498631477
010609;-77.35437012;-6.405396938
010610;-77.45778656;-6.455150604
010611;-77.46749115;-6.491347313
010612;-77.33417511;-6.207193851
010701;-78.44004059;-5.838843346
010702;-78.17476654;-5.614299774
010703;-78.6077652;-5.916801929
010704;-78.61151123;-5.717354298
010705;-78.23500061;-5.952477455
010706;-78.41059113;-6.063471794
010707;-78.52410889;-6.012007713
020101;-77.47147369;-9.570413589
020102;-77.85169983;-9.466091156
020103;-77.82121277;-9.576340675
020104;-77.81944275;-9.731069565
020105;-77.48470306;-9.471353531
020106;-77.60380554;-9.441308975
020107;-77.71803284;-9.636750221
020108;-77.37174225;-9.621868134
020109;-77.9102478;-9.64573288
020110;-77.79463959;-9.481230736
020111;-77.69387817;-9.5209589
020112;-77.48221588;-9.392649651
